CASEID,ehg3_01b,ehg3_02b,ehg3_03b,ehg3_04b,ehg3_05b,eop_200,eop_210,eop_220,eop_230,eop_240,famincg2,ttlincg2
  110, 4,6,6,2,6, 7,6,6,6,3,1,1
  111, 6,6,6,6,6, 4,6,6,3,6,4,4
  112, 7,6,6,6,3, 6,6,6,6,6,6,6
  113, 2,1,6,6,6,96,6,6,6,6,2,2
  114, 1,6,6,6,6,96,6,6,6,6,1,1
  115, 4,6,6,3,6, 2,1,6,6,6,4,3
  116, 1,6,6,6,6, 1,6,6,6,6,4,2
  117, 4,6,6,4,6, 2,1,6,6,6,6,6
  118, 4,6,6,2,6, 4,6,6,3,6,4,3
  119, 2,2,6,6,6,96,6,6,6,6,2,2
  120, 6,6,6,6,6, 6,6,6,6,6,2,2
  121, 2,1,6,6,6, 2,1,6,6,6,4,2
  122, 6,6,6,6,6, 6,6,6,6,6,5,4
  123, 6,6,6,6,6, 2,1,6,6,6,4,3
  124, 7,6,6,6,1,96,6,6,6,6,2,2
  125, 1,6,6,6,6, 1,6,6,6,6,2,1
  126, 4,6,6,3,6, 4,6,6,3,6,4,4
  127, 2,2,6,6,6,96,6,6,6,6,1,1
  128, 1,6,6,6,6, 1,6,6,6,6,4,2
  129, 4,6,6,3,6,96,6,6,6,6,3,3
  130, 4,6,6,4,6, 3,6,1,6,6,6,4
  131, 4,6,6,3,6, 2,1,6,6,6,5,4
  132, 1,6,6,6,6, 2,1,6,6,6,4,3
  133, 1,6,6,6,6,96,6,6,6,6,2,2
  134, 6,6,6,6,6, 6,6,6,6,6,6,6
  135, 6,6,6,6,6,96,6,6,6,6,2,2
  136, 3,6,2,6,6, 2,1,6,6,6,2,2
  137, 1,6,6,6,6,96,6,6,6,6,2,2
  138, 4,6,6,4,6, 4,6,6,4,6,4,2
  139, 1,6,6,6,6,96,6,6,6,6,1,1
  140, 5,6,6,6,6, 3,6,2,6,6,4,3
  141, 5,6,6,6,6, 5,6,6,6,6,6,1
  142, 7,6,6,6,3, 7,6,6,6,3,6,4
