CASEID,ehg3_01b,ehg3_02b,ehg3_03b,ehg3_04b,ehg3_05b,eop_200,eop_210,eop_220,eop_230,eop_240
  128, 1,6,6,6,6, 1,6,6,6,6
  129, 4,6,6,3,6,96,6,6,6,6
  130, 4,6,6,4,6, 3,6,1,6,6
  131, 4,6,6,3,6, 2,1,6,6,6
  132, 1,6,6,6,6, 2,1,6,6,6
  133, 1,6,6,6,6,96,6,6,6,6
  134, 6,6,6,6,6, 6,6,6,6,6
  135, 6,6,6,6,6,96,6,6,6,6
  136, 3,6,2,6,6, 2,1,6,6,6
  137, 1,6,6,6,6,96,6,6,6,6
  138, 4,6,6,4,6, 4,6,6,4,6
  139, 1,6,6,6,6,96,6,6,6,6
  140, 5,6,6,6,6, 3,6,2,6,6
  141, 5,6,6,6,6, 5,6,6,6,6
  142, 7,6,6,6,3, 7,6,6,6,3
  143, 6,6,6,6,6, 6,6,6,6,6
  144, 1,6,6,6,6,96,6,6,6,6
  145, 6,6,6,6,6, 6,6,6,6,6
  146, 6,6,6,6,6, 2,2,6,6,6
  147, 4,6,6,3,6, 4,6,6,4,6
  148, 4,6,6,4,6,96,6,6,6,6
  149, 6,6,6,6,6, 6,6,6,6,6
  150, 7,6,6,6,3,96,6,6,6,6
  151, 1,6,6,6,6,96,6,6,6,6
  152, 6,6,6,6,6, 6,6,6,6,6
  153, 6,6,6,6,6, 2,1,6,6,6
  154, 2,1,6,6,6, 2,1,6,6,6
  155, 4,6,6,3,6, 6,6,6,6,6
  156, 2,1,6,6,6,96,6,6,6,6
  157, 2,1,6,6,6,96,6,6,6,6
  158, 4,6,6,2,6, 2,1,6,6,6
  159, 2,2,6,6,6,96,6,6,6,6
  160, 2,1,6,6,6, 2,1,6,6,6
  161, 4,6,6,3,6,96,6,6,6,6
  162, 4,6,6,2,6, 2,1,6,6,6
  163, 7,6,6,6,3,96,6,6,6,6
  164, 6,6,6,6,6, 2,1,6,6,6
  165, 6,6,6,6,6, 2,1,6,6,6
  166, 7,6,6,6,3, 7,6,6,6,3
  167, 4,6,6,4,6, 3,6,1,6,6
  168, 2,1,6,6,6, 2,2,6,6,6
  169, 6,6,6,6,6, 4,6,6,4,6
  170, 1,6,6,6,6,96,6,6,6,6
  171, 1,6,6,6,6,96,6,6,6,6
  172, 3,6,1,6,6, 2,1,6,6,6
  173, 2,2,6,6,6,96,6,6,6,6
  174, 2,1,6,6,6,96,6,6,6,6
  175, 4,6,6,3,6,96,6,6,6,6
  176, 2,1,6,6,6,96,6,6,6,6
  177, 2,1,6,6,6,96,6,6,6,6
  178, 1,6,6,6,6, 1,6,6,6,6
  179, 1,6,6,6,6, 2,1,6,6,6
  180, 2,1,6,6,6,96,6,6,6,6
  181, 2,1,6,6,6, 2,1,6,6,6
  182, 2,1,6,6,6, 2,1,6,6,6
  183, 6,6,6,6,6,96,6,6,6,6
  184, 6,6,6,6,6,96,6,6,6,6
  185, 2,1,6,6,6,96,6,6,6,6
  186, 6,6,6,6,6, 4,6,6,3,6
  187, 2,1,6,6,6, 1,6,6,6,6
  188, 4,6,6,3,6, 4,6,6,3,6
  189, 4,6,6,4,6, 4,6,6,4,6
  190, 4,6,6,4,6, 4,6,6,3,6
  191, 7,6,6,6,3,96,6,6,6,6
  192, 4,6,6,2,6,96,6,6,6,6
  193, 1,6,6,6,6,96,6,6,6,6
  194, 2,1,6,6,6,96,6,6,6,6
  195, 7,6,6,6,3, 7,6,6,6,3
  196, 6,6,6,6,6, 2,1,6,6,6
  197, 2,1,6,6,6, 7,6,6,6,3
  198, 6,6,6,6,6, 2,1,6,6,6
  199, 6,6,6,6,6, 4,6,6,3,6
  200, 1,6,6,6,6, 2,1,6,6,6
  201,98,6,6,6,6,98,6,6,6,6
  202, 6,6,6,6,6, 4,6,6,4,6
  203, 6,6,6,6,6,96,6,6,6,6
  204, 6,6,6,6,6,96,6,6,6,6
  205, 1,6,6,6,6,96,6,6,6,6
  206, 2,2,6,6,6, 7,6,6,6,3
  207, 6,6,6,6,6, 6,6,6,6,6
  208, 5,6,6,6,6,96,6,6,6,6
  209, 4,6,6,3,6, 4,6,6,3,6
  210, 6,6,6,6,6, 7,6,6,6,3
  211, 2,2,6,6,6, 2,2,6,6,6
  212, 7,6,6,6,3, 2,1,6,6,6
  213, 2,1,6,6,6, 5,6,6,6,6
  214, 1,6,6,6,6,96,6,6,6,6
  215, 6,6,6,6,6, 7,6,6,6,3
  216, 4,6,6,3,6,96,6,6,6,6
  217, 4,6,6,2,6, 4,6,6,3,6
  218, 3,6,1,6,6, 4,6,6,3,6
  219, 3,6,1,6,6, 2,1,6,6,6
  220, 1,6,6,6,6, 2,1,6,6,6
  221, 1,6,6,6,6, 3,6,2,6,6
  222, 6,6,6,6,6,96,6,6,6,6
  223, 3,6,2,6,6, 4,6,6,4,6
  224, 4,6,6,3,6,99,6,6,6,6
  225, 1,6,6,6,6,96,6,6,6,6
  226, 6,6,6,6,6, 3,6,2,6,6
  227, 7,6,6,6,3, 3,6,2,6,6
  228,97,6,6,6,6,97,6,6,6,6
  229, 2,1,6,6,6, 4,6,6,3,6
  230, 6,6,6,6,6,96,6,6,6,6
  231, 1,6,6,6,6, 3,6,2,6,6
  232, 7,6,6,6,3,96,6,6,6,6
  233, 6,6,6,6,6, 7,6,6,6,3
  234, 1,6,6,6,6,96,6,6,6,6
  235, 3,6,2,6,6,96,6,6,6,6
  236, 3,6,1,6,6,97,6,6,6,6
  237, 4,6,6,4,6,96,6,6,6,6
  238, 2,1,6,6,6, 3,6,2,6,6
  239, 4,6,6,4,6, 4,6,6,4,6
  240, 4,6,6,4,6, 7,6,6,6,3
  241, 4,6,6,3,6, 4,6,6,2,6
  242, 2,1,6,6,6, 6,6,6,6,6
  243, 3,6,1,6,6, 4,6,6,3,6
  244, 6,6,6,6,6, 4,6,6,3,6
  245, 1,6,6,6,6,96,6,6,6,6
  246, 2,2,6,6,6, 1,6,6,6,6
  247, 6,6,6,6,6, 6,6,6,6,6
  248, 2,1,6,6,6,96,6,6,6,6
  249, 2,2,6,6,6,96,6,6,6,6
  250, 6,6,6,6,6,96,6,6,6,6
  251, 4,6,6,3,6, 7,6,6,6,3
  252, 4,6,6,4,6, 6,6,6,6,6
  253, 7,6,6,6,2, 7,6,6,6,3
  254, 2,1,6,6,6,96,6,6,6,6
  255, 2,2,6,6,6,96,6,6,6,6
  256, 2,1,6,6,6, 2,1,6,6,6
  257, 2,1,6,6,6, 2,1,6,6,6
  258, 1,6,6,6,6,96,6,6,6,6
  259, 4,6,6,3,6, 4,6,6,7,6
  260, 2,2,6,6,6, 2,1,6,6,6
  261, 2,1,6,6,6, 2,1,6,6,6
  262, 7,6,6,6,3, 6,6,6,6,6
  263, 2,1,6,6,6,96,6,6,6,6
  264, 4,6,6,3,6, 2,7,6,6,6
  265, 2,1,6,6,6,96,6,6,6,6
  266, 1,6,6,6,6,97,6,6,6,6
  267, 2,1,6,6,6, 4,6,6,3,6
  268, 2,1,6,6,6,96,6,6,6,6
  269, 6,6,6,6,6, 7,6,6,6,3
  270, 6,6,6,6,6,96,6,6,6,6
  271, 6,6,6,6,6,96,6,6,6,6
  272, 7,6,6,6,3, 6,6,6,6,6
  273, 4,6,6,3,6, 5,6,6,6,6
  274, 2,1,6,6,6, 2,2,6,6,6
  275, 6,6,6,6,6,96,6,6,6,6
  276, 5,6,6,6,6, 3,6,1,6,6
  277, 5,6,6,6,6, 4,6,6,4,6
  278, 1,6,6,6,6,96,6,6,6,6
  279, 3,6,2,6,6, 6,6,6,6,6
  280, 2,2,6,6,6, 2,2,6,6,6
  281, 2,1,6,6,6, 4,6,6,2,6
  282, 2,1,6,6,6, 2,1,6,6,6
  283, 1,6,6,6,6,96,6,6,6,6
  284, 2,1,6,6,6, 2,1,6,6,6
  285, 1,6,6,6,6,96,6,6,6,6
  286, 2,1,6,6,6, 7,6,6,6,3
  287, 2,1,6,6,6, 1,6,6,6,6
  288, 4,6,6,4,6, 2,1,6,6,6
  289, 6,6,6,6,6,96,6,6,6,6
  290, 1,6,6,6,6,96,6,6,6,6
  291, 1,6,6,6,6, 1,6,6,6,6
  292, 2,1,6,6,6,96,6,6,6,6
  293, 3,6,2,6,6,96,6,6,6,6
  294, 4,6,6,4,6,96,6,6,6,6
  295, 2,1,6,6,6,96,6,6,6,6
